artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_NA,mode_Major,mode_Minor,new_releases_2010,all_playlists,log_in_spotify_playlists,log_in_apple_playlists,log_in_deezer_playlists,log_all_playlists,log_speechiness_%,log_danceability_%
1,2022,10,21,3818,23,404562836.0,37,55,32,0,272,90,64,10,62,7,0,48,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3887,8.247743887225516,3.6375861597263857,3.4965075614664802,8.265650165580329,2.0794415416798357,4.174387269895637
1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,59,71,42,55,0,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3780,8.162516250140179,4.663439094112067,5.135798437050262,8.237743803890933,2.0794415416798357,4.0943445622221
1,2023,7,14,410,36,14780425.0,36,32,31,1,26,140,56,48,73,0,0,35,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,477,6.018593214496234,3.6109179126442243,3.4657359027997265,6.169610732491456,1.6094379124341003,4.04305126783455
1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,51,22,53,1,0,15,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,188,5.003946305945459,3.4965075614664802,2.1972245773362196,5.241747015059643,1.3862943611198906,3.9512437185814275
2,2023,6,23,1004,35,54266102.0,42,80,58,3,169,130,77,84,89,17,0,43,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1104,6.912742820493176,3.7612001156935624,4.07753744390572,7.007600613951853,1.791759469228055,4.356708826689592
1,2020,6,28,22543,63,2557975762.0,386,144,707,28,0,81,76,53,53,44,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,23636,10.023224234138462,5.958424693029782,6.56244409369372,10.070568559913799,2.302585092994046,4.343805421853684
1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,51,14,59,65,18,25,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4690,8.414495793177895,4.2626798770413155,4.700480365792417,8.453401058328458,1.3862943611198906,3.9512437185814275
1,2012,5,14,16413,61,2282771485.0,166,87,1056,1,0,124,61,41,81,5,2,10,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,17635,9.705889908189658,5.117993812416755,6.963189985870238,9.777697546477828,1.3862943611198906,4.127134385045092
2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176,128,62,55,78,1,3,23,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8764,9.048644632975885,4.553876891600541,5.10594547390058,9.078521797355334,1.6094379124341003,4.143134726391533
1,2008,1,1,33898,62,1592909789.0,233,0,4095,9,0,138,49,42,62,9,0,11,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38226,10.431140794408378,5.455321115357702,8.317766166719343,10.551297351207467,1.3862943611198906,3.912023005428146
1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,58,27,48,50,0,12,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3408,8.085486772102845,4.553876891600541,4.23410650459726,8.134174272137903,1.3862943611198906,4.07753744390572
2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154,131,71,24,47,1,0,27,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,9123,9.056839480990421,5.37989735354046,5.805134968916488,9.11866358340428,2.302585092994046,4.276666119016055
2,2022,12,20,3618,38,585695368.0,47,74,80,14,194,168,78,58,73,5,0,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3745,8.193953023563742,3.871201010907891,4.394449154672439,8.228443883004033,2.0794415416798357,4.3694478524670215
1,2023,6,22,370,20,43857627.0,12,16,18,4,93,98,68,40,79,33,0,30,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,400,5.916202062607435,2.5649493574615367,2.9444389791664403,5.993961427306569,1.9459101490553132,4.23410650459726
1,1975,1,1,31123,55,2009094673.0,300,65,1003,1,0,102,48,50,73,43,0,15,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32426,10.345734504736821,5.707110264748875,6.911747300251674,10.386746688084312,1.6094379124341003,3.8918202981106265
2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,34,32,57,78,0,20,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2921,7.934155233536322,4.110873864173311,4.276666119016055,7.980023592310645,1.3862943611198906,3.5553480614894135
2,2023,6,23,267,9,39709092.0,9,6,25,2,72,130,63,36,34,76,0,35,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,301,5.5909869805108565,2.302585092994046,3.258096538021482,5.71042701737487,2.302585092994046,4.1588830833596715
1,2023,7,7,139,17,39228929.0,16,72,5,0,8,142,50,20,64,1,0,12,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,160,4.941642422609304,2.833213344056216,1.791759469228055,5.081404364984463,1.3862943611198906,3.9318256327243257
2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,170,59,48,76,4,0,10,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,18340,9.743964132018151,6.20050917404269,6.683360945766275,9.816894269951032,1.791759469228055,4.0943445622221
2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,124,78,70,68,3,1,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2304,7.656810091480378,4.394449154672439,4.709530201312334,7.742835955430749,1.6094379124341003,4.3694478524670215
1,2018,11,8,17836,53,2887241814.0,440,125,1800,0,0,110,50,45,41,75,0,11,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,20076,9.789030230558303,6.089044875446846,7.496097345175956,9.90733016025358,1.3862943611198906,3.9318256327243257
2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,92,91,43,71,9,0,9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9115,9.090542808520587,4.653960350157523,4.955827057601261,9.117786390365575,2.1972245773362196,4.5217885770490405
1,2015,6,22,6060,53,165484133.0,150,148,2703,22,1451,116,82,40,66,39,51,25,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,8913,8.709630081951286,5.017279836814924,7.902487437162855,9.0953783535065,2.0794415416798357,4.418840607796598
